id,source,target
edge1,K23 YE,AH7 YCNT
edge2,AH7 YCNT,AH48 YC
edge3,K9 YE,AH8 YCNT
edge4,AH8 YCNT,AH21 YC
edge5,K1 YE,AH47 YCNT
edge7,K17 YE,AH15 YCNT
edge8,AH15 YCNT,AH9 YC
edge9,K40 YE,AH13 YCNT
edge10,AH13 YCNT,AH6 YC
edge11,AH15 YC,AH11 YCNT
edge12,AH11 YCNT,AH8 YC
edge13,K2 YE,AH34 YCNT
edge14,AH34 YCNT,AH45 YC
edge15,K7 YE,AH21 YCNT
edge16,AH21 YCNT,AH3 YCNT
edge17,AH3 YCNT,K10 YE
edge18,K11 YE,AH49 YCNT
edge19,AH49 YCNT,AH12 YCNT
edge20,AH12 YCNT,AH30 YC
edge21,AH12 YC,AH39 YCNT
edge22,AH39 YCNT,AH50 YCNT
edge23,AH50 YCNT,AH31 YC
edge24,AH42 YC,AH24 YN2
edge25,AH24 YN2,AH31 YN
edge26,AH31 YN,AH24 YC
edge27,AH43 YC,AH9 YN
edge28,AH9 YN,AH44 YN2
edge29,AH44 YN2,AH23 YC
edge30,AH51 YCNT,AH29 YC
edge31,K4 YE,AH25 YCNT
edge32,AH25 YCNT,AH41 YC
edge35,AH5 YC,AH23 YCNT
edge36,AH23 YCNT,AH34 YC
edge37,K34 YE,AH24 YCNT
edge38,AH24 YCNT,AH7 YC
edge39,K5 YE,AH29 YCNT
edge40,AH29 YCNT,K31 YE
edge41,K41 YE,AH6 YCNT
edge42,AH6 YCNT,AH33 YC
edge43,K24 YE,AH5 YCNT
edge44,AH5 YCNT,AH50 YC
edge45,K15 YE,AH30 YCNT
edge46,AH30 YCNT,AH32 YC
edge47,AH35 YC,AH14 YCNT
edge48,AH49 YC,AH32 YCNT
edge49,AH32 YCNT,AH4 YC
edge50,K39 YE,AH33 YCNT
edge51,AH33 YCNT,AH26 YC
edge52,K37 YE,AH22 YCNT
edge53,AH22 YCNT,AH46 YC
edge54,K38 YE,AH31 YCNT
edge55,AH31 YCNT,K13 YE
edge56,AH31 YCNT,K21 YE
edge57,K13 YE,K14 YE
edge58,K3 YE,K21 YE
edge59,K21 YE,K35 YE
edge60,K33 YE,AH26 YCNT
edge61,AH26 YCNT,AH22 YC
edge62,K12 YE,AH52 YCNT
edge63,AH52 YCNT,AH11 YC
edge64,AH10 YN2,AH38 YN
edge65,AH38 YN,AH4 YN
edge66,AH4 YN,AH5 YN2
edge67,AH13 YN2,AH21 YN
edge68,AH21 YN,AH24 YN
edge69,AH24 YN,AH41 YN2
edge70,AH46 YN2,AH37 YN
edge71,AH37 YN,AH19 YN
edge72,AH19 YN,AH11 YN2
edge73,AH6 YN2,AH15 YN
edge74,AH15 YN,AH7 YN
edge75,AH7 YN,AH32 YN2
edge76,AH45 YN2,AH39 YN
edge77,AH39 YN,AH23 YN
edge78,AH23 YN,AH39 YN2
edge79,AH23 YN2,AH22 YN
edge80,AH22 YN,AH29 YN2
edge81,AH30 YN2,AH34 YN
edge82,AH29 YN,AH38 YN2
edge83,AH38 YN2,AH14 YN2
edge84,AH17 YN,AH14 YN2
edge85,AH18 YN,AH42 YN2
edge86,AH42 YN2,AH11 YN
edge87,AH11 YN,AH20 YN2
edge88,AH20 YN2,AH16 YN
edge89,AH5 YN,AH7 YN2
edge90,AH7 YN2,AH28 YN2
edge91,AH28 YN2,AH4 YN2
edge92,AH4 YN2,AH2 YN
edge93,AH15 YN2,AH10 YN
edge94,AH10 YN,AH48 YN2
edge95,AH48 YN2,AH33 YN2
edge96,AH37 YN2,AH6 YN
edge97,AH6 YN,AH22 YN2
edge98,AH36 YN,AH21 YN2
edge99,AH21 YN2,AH47 YN2
edge100,AH13 YN,AH25 YN2
edge101,K32 YE,AH40 YC
edge102,AH40 YN2,AH48 YCNT
edge103,K27 YE,AH13 YC
edge106,AH14 YC,AH40 YCNT
edge107,AH40 YCNT,K22 YE
edge108,AH33 YN,AH12 YN2
edge109,AH32 YN,AH12 YN2
edge110,K21 YE,AH48 YCNT
edge111,K27 YE,AH39 YC
