id,source,target
edge1,AH2 YN,AH4 YN2
edge2,AH2 YN,AH3 YCNT
edge3,AH4 YN,AH18 YN
edge4,AH4 YN,AH5 YN2
edge5,AH4 YN,AH16 YN
edge6,AH4 YN,AH38 YN
edge7,AH5 YN,AH7 YN2
edge8,AH6 YN,AH37 YN2
edge9,AH6 YN,AH22 YN2
edge10,AH7 YN,AH32 YN2
edge11,AH7 YN,AH29 YN
edge12,AH7 YN,AH15 YN
edge13,AH9 YN,AH43 YC
edge14,AH9 YN,AH44 YN2
edge15,AH10 YN,AH15 YN2
edge16,AH10 YN,AH33 YN2
edge17,AH10 YN,AH48 YN2
edge18,AH11 YN,AH20 YN2
edge19,AH12 YN,AH29 YCNT
edge20,AH13 YN,AH25 YN2
edge21,AH15 YN,AH6 YN2
edge22,AH15 YN,AH38 YN2
edge23,AH16 YN,AH20 YN2
edge24,AH17 YN,AH46 YC
edge25,AH17 YN,AH23 YC
edge26,AH19 YN,K10 YE
edge27,AH21 YN,AH24 YN
edge28,AH21 YN,AH13 YN2
edge29,AH22 YN,AH29 YN2
edge30,AH22 YN,AH23 YN2
edge31,AH23 YN,AH39 YN2
edge32,AH23 YN,AH39 YN
edge33,AH24 YN,AH41 YN2
edge34,AH26 YN,AH30 YCNT
edge35,AH29 YN,AH6 YN2
edge36,AH31 YN,AH40 YC
edge37,AH31 YN,AH24 YC
edge38,AH32 YN,AH12 YN2
edge39,AH33 YN,AH12 YN2
edge40,AH34 YN,AH30 YN2
edge41,AH36 YN,AH21 YN2
edge42,AH37 YN,AH46 YN2
edge43,AH37 YN,K10 YE
edge44,AH38 YN,AH10 YN2
edge45,AH39 YN,AH45 YN2
edge46,AH4 YN2,AH28 YN2
edge47,AH7 YN2,AH28 YN2
edge48,AH10 YN2,K12 YE
edge49,AH11 YN2,K14 YE
edge50,AH14 YN2,K32 YE
edge51,AH14 YN2,K33 YE
edge52,AH21 YN2,AH47 YN2
edge53,AH24 YN2,AH42 YC
edge54,AH24 YN2,AH23 YN2
edge55,AH31 YN2,K5 YE
edge56,AH40 YN2,K27 YE
edge57,AH42 YN2,AH6 YCNT
edge58,AH42 YN2,K31 YE
edge59,AH44 YN2,AH23 YC
edge60,AH46 YN2,K16 YE
edge61,AH3 YCNT,AH21 YCNT
edge62,AH5 YCNT,K24 YE
edge63,AH5 YCNT,AH50 YC
edge64,AH5 YCNT,AH33 YC
edge65,AH5 YCNT,AH22 YCNT
edge66,AH7 YCNT,K23 YE
edge67,AH7 YCNT,AH47 YC
edge68,AH8 YCNT,K9 YE
edge69,AH8 YCNT,AH7 YC
edge70,AH8 YCNT,AH21 YC
edge71,AH11 YCNT,AH8 YC
edge72,AH11 YCNT,AH15 YC
edge73,AH12 YCNT,AH24 YCNT
edge74,AH12 YCNT,AH49 YCNT
edge75,AH13 YCNT,AH25 YCNT
edge76,AH13 YCNT,K40 YE
edge77,AH14 YCNT,AH35 YC
edge78,AH15 YCNT,AH9 YC
edge79,AH15 YCNT,K17 YE
edge80,AH21 YCNT,K7 YE
edge81,AH22 YCNT,AH49 YC
edge82,AH22 YCNT,K41 YE
edge83,AH23 YCNT,AH5 YC
edge84,AH23 YCNT,AH34 YC
edge85,AH24 YCNT,AH11 YC
edge86,AH25 YCNT,AH6 YC
edge87,AH26 YCNT,K39 YE
edge88,AH26 YCNT,AH26 YC
edge89,AH29 YCNT,K5 YE
edge90,AH30 YCNT,AH32 YC
edge91,AH30 YCNT,K15 YE
edge92,AH31 YCNT,AH14 YC
edge93,AH31 YCNT,AH41 YC
edge94,AH32 YCNT,AH22 YC
edge95,AH32 YCNT,K33 YE
edge96,AH33 YCNT,AH22 YC
edge97,AH33 YCNT,AH41 YC
edge98,AH33 YCNT,AH40 YCNT
edge99,AH34 YCNT,K2 YE
edge100,AH34 YCNT,AH45 YC
edge101,AH39 YCNT,AH12 YC
edge102,AH39 YCNT,AH50 YCNT
edge103,AH40 YCNT,AH13 YC
edge104,AH40 YCNT,K4 YE
edge105,AH47 YCNT,K1 YE
edge106,AH47 YCNT,AH48 YC
edge107,AH49 YCNT,K11 YE
edge108,AH50 YCNT,AH31 YC
edge109,AH51 YCNT,AH29 YC
edge110,K2 YE,AH30 YC
edge111,K3 YE,K15 YE
edge112,K3 YE,K38 YE
edge113,K11 YE,AH9 YC
edge114,K12 YE,AH11 YC
edge115,K13 YE,K38 YE
edge116,K14 YE,K22 YE
edge117,K21 YE,K35 YE
edge118,K34 YE,K39 YE
edge119,K41 YE,AH34 YC
edge120,K37 YE,AH6 YCNT
edge121,AH39 YC,AH13 YC
edge122,AH4 YC,AH49 YC
