id,label,shape,color
AH2 YN,AH2 YN,circle,BLUE
AH4 YN,AH4 YN,circle,BLUE
AH5 YN,AH5 YN,circle,BLUE
AH6 YN,AH6 YN,circle,BLUE
AH7 YN,AH7 YN,circle,BLUE
AH9 YN,AH9 YN,circle,BLUE
AH10 YN,AH10 YN,circle,BLUE
AH11 YN,AH11 YN,circle,BLUE
AH12 YN,AH12 YN,circle,BLUE
AH13 YN,AH13 YN,circle,BLUE
AH15 YN,AH15 YN,circle,BLUE
AH16 YN,AH16 YN,circle,BLUE
AH17 YN,AH17 YN,circle,BLUE
AH18 YN,AH18 YN,circle,BLUE
AH19 YN,AH19 YN,circle,BLUE
AH21 YN,AH21 YN,circle,BLUE
AH22 YN,AH22 YN,circle,BLUE
AH23 YN,AH23 YN,circle,BLUE
AH24 YN,AH24 YN,circle,BLUE
AH26 YN,AH26 YN,circle,BLUE
AH29 YN,AH29 YN,circle,BLUE
AH31 YN,AH31 YN,circle,BLUE
AH32 YN,AH32 YN,circle,BLUE
AH33 YN,AH33 YN,circle,BLUE
AH34 YN,AH34 YN,circle,BLUE
AH36 YN,AH36 YN,circle,BLUE
AH37 YN,AH37 YN,circle,BLUE
AH38 YN,AH38 YN,circle,BLUE
AH39 YN,AH39 YN,circle,BLUE
AH4 YN2,AH4 YN2,circle,YELLOW
AH5 YN2,AH5 YN2,circle,YELLOW
AH6 YN2,AH6 YN2,circle,YELLOW
AH7 YN2,AH7 YN2,circle,YELLOW
AH8 YN2,AH8 YN2,circle,YELLOW
AH10 YN2,AH10 YN2,circle,YELLOW
AH11 YN2,AH11 YN2,circle,YELLOW
AH12 YN2,AH12 YN2,circle,YELLOW
AH13 YN2,AH13 YN2,circle,YELLOW
AH14 YN2,AH14 YN2,circle,YELLOW
AH15 YN2,AH15 YN2,circle,YELLOW
AH20 YN2,AH20 YN2,circle,YELLOW
AH21 YN2,AH21 YN2,circle,YELLOW
AH22 YN2,AH22 YN2,circle,YELLOW
AH23 YN2,AH23 YN2,circle,YELLOW
AH24 YN2,AH24 YN2,circle,YELLOW
AH25 YN2,AH25 YN2,circle,YELLOW
AH28 YN2,AH28 YN2,circle,YELLOW
AH29 YN2,AH29 YN2,circle,YELLOW
AH30 YN2,AH30 YN2,circle,YELLOW
AH31 YN2,AH31 YN2,circle,YELLOW
AH32 YN2,AH32 YN2,circle,YELLOW
AH33 YN2,AH33 YN2,circle,YELLOW
AH37 YN2,AH37 YN2,circle,YELLOW
AH38 YN2,AH38 YN2,circle,YELLOW
AH39 YN2,AH39 YN2,circle,YELLOW
AH40 YN2,AH40 YN2,circle,YELLOW
AH41 YN2,AH41 YN2,circle,YELLOW
AH42 YN2,AH42 YN2,circle,YELLOW
AH44 YN2,AH44 YN2,circle,YELLOW
AH45 YN2,AH45 YN2,circle,YELLOW
AH46 YN2,AH46 YN2,circle,YELLOW
AH47 YN2,AH47 YN2,circle,YELLOW
AH48 YN2,AH48 YN2,circle,YELLOW
AH3 YCNT,AH3 YCNT,circle,gray
AH5 YCNT,AH5 YCNT,circle,gray
AH6 YCNT,AH6 YCNT,circle,gray
AH7 YCNT,AH7 YCNT,circle,gray
AH8 YCNT,AH8 YCNT,circle,gray
AH11 YCNT,AH11 YCNT,circle,gray
AH12 YCNT,AH12 YCNT,circle,gray
AH13 YCNT,AH13 YCNT,circle,gray
AH14 YCNT,AH14 YCNT,circle,gray
AH15 YCNT,AH15 YCNT,circle,gray
AH21 YCNT,AH21 YCNT,circle,gray
AH22 YCNT,AH22 YCNT,circle,gray
AH23 YCNT,AH23 YCNT,circle,gray
AH24 YCNT,AH24 YCNT,circle,gray
AH25 YCNT,AH25 YCNT,circle,gray
AH26 YCNT,AH26 YCNT,circle,gray
AH29 YCNT,AH29 YCNT,circle,gray
AH30 YCNT,AH30 YCNT,circle,gray
AH31 YCNT,AH31 YCNT,circle,gray
AH32 YCNT,AH32 YCNT,circle,gray
AH33 YCNT,AH33 YCNT,circle,gray
AH34 YCNT,AH34 YCNT,circle,gray
AH39 YCNT,AH39 YCNT,circle,gray
AH40 YCNT,AH40 YCNT,circle,gray
AH47 YCNT,AH47 YCNT,circle,gray
AH49 YCNT,AH49 YCNT,circle,gray
AH50 YCNT,AH50 YCNT,circle,gray
AH51 YCNT,AH51 YCNT,circle,gray
K1 YE,K1 YE,circle,red
K2 YE,K2 YE,circle,red
K3 YE,K3 YE,circle,red
K4 YE,K4 YE,circle,red
K5 YE,K5 YE,circle,red
K7 YE,K7 YE,circle,red
K9 YE,K9 YE,circle,red
K10 YE,K10 YE,circle,red
K11 YE,K11 YE,circle,red
K12 YE,K12 YE,circle,red
K13 YE,K13 YE,circle,red
K14 YE,K14 YE,circle,red
K15 YE,K15 YE,circle,red
K16 YE,K16 YE,circle,red
K17 YE,K17 YE,circle,red
K21 YE,K21 YE,circle,red
K22 YE,K22 YE,circle,red
K23 YE,K23 YE,circle,red
K24 YE,K24 YE,circle,red
K27 YE,K27 YE,circle,red
K31 YE,K31 YE,circle,red
K32 YE,K32 YE,circle,red
K33 YE,K33 YE,circle,red
K34 YE,K34 YE,circle,red
K35 YE,K35 YE,circle,red
K37 YE,K37 YE,circle,red
K38 YE,K38 YE,circle,red
K39 YE,K39 YE,circle,red
K40 YE,K40 YE,circle,red
K41 YE,K41 YE,circle,red
AH4 YC,AH4 YC,circle,green
AH5 YC,AH5 YC,circle,green
AH6 YC,AH6 YC,circle,green
AH7 YC,AH7 YC,circle,green
AH8 YC,AH8 YC,circle,green
AH9 YC,AH9 YC,circle,green
AH11 YC,AH11 YC,circle,green
AH12 YC,AH12 YC,circle,green
AH13 YC,AH13 YC,circle,green
AH14 YC,AH14 YC,circle,green
AH15 YC,AH15 YC,circle,green
AH21 YC,AH21 YC,circle,green
AH22 YC,AH22 YC,circle,green
AH23 YC,AH23 YC,circle,green
AH24 YC,AH24 YC,circle,green
AH26 YC,AH26 YC,circle,green
AH29 YC,AH29 YC,circle,green
AH30 YC,AH30 YC,circle,green
AH31 YC,AH31 YC,circle,green
AH32 YC,AH32 YC,circle,green
AH33 YC,AH33 YC,circle,green
AH34 YC,AH34 YC,circle,green
AH35 YC,AH35 YC,circle,green
AH39 YC,AH39 YC,circle,green
AH40 YC,AH40 YC,circle,green
AH41 YC,AH41 YC,circle,green
AH42 YC,AH42 YC,circle,green
AH43 YC,AH43 YC,circle,green
AH45 YC,AH45 YC,circle,green
AH46 YC,AH46 YC,circle,green
AH47 YC,AH47 YC,circle,green
AH48 YC,AH48 YC,circle,green
AH49 YC,AH49 YC,circle,green
AH50 YC,AH50 YC,circle,green
